id;server;uuid;decoder;password
1;Reverse-engineered virtual;6ae6fd83-ea5b-418f-8f32-4d8a0a01cbd6;Automated Bike;Response
2;Account SAS;1817e4d1-544e-4b09-aab8-9bd7470e54e8;Intranet;SCSI logistical
3;Frozen Dynamic;cb2be2ce-4404-4959-8e0e-47d216c7b792;connecting primary auxiliary;white Borders
4;Central Innovative;2bc15c9f-f346-49c9-8ef4-3bd995e91084;Soft empower;synthesize
5;override;53b1df91-da8c-4bf6-b134-aad2c1e4f844;Tasty;Indiana infrastructure sensor
6;Designer open-source back-end;b17f08d4-ae76-40c1-9e41-d045d1ab9e9e;embrace;Granite
7;red;52ca58f2-f018-43a3-936a-e5d69f6fe6e4;tangible Cheese digital;and bandwidth
8;Loan;17857cc4-8442-46f9-a66e-9886d360fc1f;empowering calculating bottom-line;functionalities plum
9;Administrator e-markets deliver;5c78b856-5a65-430c-9dc2-90e841da447e;Generic;internet Fish Awesome
10;card online;8b8e4d25-555f-4da0-bffa-054b4fb0a375;digital;Handmade Reduced British
